country,cpi_2022,cpi_2021,cpi_2020,cpi_2019,cpi_2018,cpi_2017,cpi_2016,cpi_2015,cpi_2014,cpi_2013,cpi_2012,diff
Liberia,26,29,28,28,32,31,37,37,37,38,41,-15
Comoros,19,20,21,25,27,27,24,26,26,28,28,-9
Lesotho,37,38,41,40,41,42,39,44,49,49,45,-8
Eswatini,30,32,33,34,38,39,NA,NA,43,39,37,-7
Mauritius,50,54,53,52,51,50,54,53,54,52,57,-7
Djibouti,30,30,27,30,31,31,30,34,34,36,36,-6
Gabon,29,31,30,31,31,32,35,34,37,34,35,-6
Madagascar,26,26,25,24,25,24,26,28,28,28,32,-6
Mali,28,29,30,29,32,31,32,35,32,28,34,-6
Botswana,60,55,60,61,61,61,60,63,63,64,65,-5
Congo,21,21,19,19,19,21,20,23,23,22,26,-5
Mozambique,26,26,25,26,23,25,27,31,31,30,31,-5
Guinea Bissau,21,21,19,18,16,17,16,17,19,19,25,-4
Zambia,33,33,33,34,35,37,38,38,38,38,37,-4
Equatorial Guinea,17,17,16,16,16,17,NA,NA,NA,19,20,-3
Eritrea,22,22,21,23,24,20,18,18,18,20,25,-3
Malawi,34,35,30,31,32,31,31,31,33,37,37,-3
Nigeria,24,24,25,26,27,27,28,26,27,25,27,-3
Uganda,26,27,27,28,26,26,25,25,26,26,29,-3
Burundi,17,19,19,19,17,22,20,21,20,21,19,-2
Central African Republic,24,24,26,25,26,23,20,24,24,25,26,-2
Ghana,43,43,43,41,41,40,43,47,48,46,45,-2
Rwanda,51,53,54,53,56,55,54,54,49,53,53,-2
Democratic Republic of the Congo,20,19,18,18,20,21,21,22,22,22,21,-1
Mauritania,30,28,29,28,27,28,27,31,30,30,31,-1
Niger,32,31,32,32,34,33,35,34,35,34,33,-1
Cabo Verde,60,58,58,58,57,55,59,55,57,58,60,0
Cameroon,26,27,25,25,25,25,26,27,27,25,26,0
Chad,19,20,21,20,19,20,20,22,22,19,19,0
Gambia,34,37,37,37,37,30,26,28,29,28,34,0
South Africa,43,44,44,44,43,43,45,44,44,42,43,0
Togo,30,30,29,29,30,32,32,32,29,29,30,0
Guinea,25,25,28,29,28,27,27,25,25,24,24,1
Namibia,49,49,51,52,53,51,52,53,49,48,48,1
Sao Tome and Principe,45,45,47,46,46,46,46,42,42,42,42,3
Sierra Leone,34,34,33,33,30,30,30,29,31,30,31,3
Tanzania,38,39,38,37,36,36,32,30,31,33,35,3
Zimbabwe,23,23,24,24,22,22,22,21,21,21,20,3
Burkina Faso,42,42,40,40,41,42,42,38,38,38,38,4
Somalia,12,13,12,9,10,9,10,8,8,8,8,4
Ethiopia,38,39,38,37,34,35,34,33,33,33,33,5
Kenya,32,30,31,28,27,28,26,25,25,27,27,5
Benin,43,42,41,41,40,39,36,37,39,36,36,7
Senegal,43,43,45,45,45,45,45,44,43,41,36,7
Cote d'Ivoire,37,36,36,35,35,36,34,32,32,27,29,8
Sudan,22,20,16,16,16,16,14,12,11,11,13,9
Angola,33,29,27,26,19,19,18,15,19,23,22,11
Seychelles,70,70,66,66,66,60,NA,55,55,54,52,18
South Sudan,13,11,12,12,13,12,11,15,15,14,NA,NA
